,,,SolarPV_01,BESS_01,AEL_01,PEMEL_01,HEMEL_01,H2Tank_01
period1,sc01,t0521, 7.54238844 ,,,,,
period1,sc01,t0522, 2.8757611938 ,,,,,
period1,sc01,t0523, 0.09165772728 ,,,,,
period1,sc01,t0524, 0.00004180512 ,,,,,
period1,sc01,t0525, 0.000020249356 ,,,,,
period1,sc01,t0526, 0.000013499572 ,,,,,
period1,sc01,t0527, 0.000007838462 ,,,,,
period1,sc01,t0528, 0.000009798076 ,,,,,
period1,sc01,t0529, 0.000012410894 ,,,,,
period1,sc01,t0530, 0.00001045128 ,,,,,
period1,sc01,t0531, 0.000010669014 ,,,,,
period1,sc01,t0532, 0.000009580342 ,,,,,
period1,sc01,t0533, 0.000013717306 ,,,,,
period1,sc01,t0534, 0.000019378416 ,,,,,
period1,sc01,t0535, 0.000045724352 ,,,,,
period1,sc01,t0536, 0.00036165784 ,,,,,
period1,sc01,t0537, 0.42808443678 ,,,,,
