,,,Node1,Node2,Node3,Node4
period1,sc01,t0217,, 2.5 , 2.5 ,
period1,sc01,t0218,, 2.5 , 2.5 ,
period1,sc01,t0219,, 2.5 , 2.5 ,
period1,sc01,t0220,, 2.5 , 2.5 ,
period1,sc01,t0221,, 2.5 , 2.5 ,
period1,sc01,t0222,, 2.5 , 2.5 ,
period1,sc01,t0223,, 2.5 , 2.5 ,
period1,sc01,t0224,, 2.5 , 2.5 ,
period1,sc01,t0225,, 2.5 , 2.5 ,
period1,sc01,t0226,, 2.5 , 2.5 ,
period1,sc01,t0227,, 2.5 , 2.5 ,
period1,sc01,t0228,, 2.5 , 2.5 ,
period1,sc01,t0229,, 2.5 , 2.5 ,
period1,sc01,t0230,, 2.5 , 2.5 ,
period1,sc01,t0231,, 2.5 , 2.5 ,
period1,sc01,t0232,, 2.5 , 2.5 ,
period1,sc01,t0233,, 2.5 , 2.5 ,
period1,sc01,t0234,, 2.5 , 2.5 ,
period1,sc01,t0235,, 2.5 , 2.5 ,
period1,sc01,t0236,, 2.5 , 2.5 ,
period1,sc01,t0237,, 2.5 , 2.5 ,
period1,sc01,t0238,, 2.5 , 2.5 ,
period1,sc01,t0239,, 2.5 , 2.5 ,
period1,sc01,t0240,, 2.5 , 2.5 ,
period1,sc01,t0241,, 2.5 , 2.5 ,
period1,sc01,t0242,, 2.5 , 2.5 ,
period1,sc01,t0243,, 2.5 , 2.5 ,
period1,sc01,t0244,, 2.5 , 2.5 ,
period1,sc01,t0245,, 2.5 , 2.5 ,
period1,sc01,t0246,, 2.5 , 2.5 ,
period1,sc01,t0247,, 2.5 , 2.5 ,
period1,sc01,t0248,, 2.5 , 2.5 ,
period1,sc01,t0249,, 2.5 , 2.5 ,
period1,sc01,t0250,, 2.5 , 2.5 ,
period1,sc01,t0251,, 2.5 , 2.5 ,
period1,sc01,t0252,, 2.5 , 2.5 ,
period1,sc01,t0253,, 2.5 , 2.5 ,
period1,sc01,t0254,, 2.5 , 2.5 ,
period1,sc01,t0255,, 2.5 , 2.5 ,
period1,sc01,t0256,, 2.5 , 2.5 ,
period1,sc01,t0257,, 2.5 , 2.5 ,
period1,sc01,t0258,, 2.5 , 2.5 ,
period1,sc01,t0259,, 2.5 , 2.5 ,
period1,sc01,t0260,, 2.5 , 2.5 ,
period1,sc01,t0261,, 2.5 , 2.5 ,
period1,sc01,t0262,, 2.5 , 2.5 ,
period1,sc01,t0263,, 2.5 , 2.5 ,
period1,sc01,t0264,, 2.5 , 2.5 ,
period1,sc01,t0265,, 2.5 , 2.5 ,
period1,sc01,t0266,, 2.5 , 2.5 ,
period1,sc01,t0267,, 2.5 , 2.5 ,
period1,sc01,t0268,, 2.5 , 2.5 ,
period1,sc01,t0269,, 2.5 , 2.5 ,
period1,sc01,t0270,, 2.5 , 2.5 ,
period1,sc01,t0271,, 2.5 , 2.5 ,
period1,sc01,t0272,, 2.5 , 2.5 ,
period1,sc01,t0273,, 2.5 , 2.5 ,
period1,sc01,t0274,, 2.5 , 2.5 ,
period1,sc01,t0275,, 2.5 , 2.5 ,
period1,sc01,t0276,, 2.5 , 2.5 ,
period1,sc01,t0277,, 2.5 , 2.5 ,
period1,sc01,t0278,, 2.5 , 2.5 ,
period1,sc01,t0279,, 2.5 , 2.5 ,
period1,sc01,t0280,, 2.5 , 2.5 ,
period1,sc01,t0281,, 2.5 , 2.5 ,
period1,sc01,t0282,, 2.5 , 2.5 ,
period1,sc01,t0283,, 2.5 , 2.5 ,
period1,sc01,t0284,, 2.5 , 2.5 ,
period1,sc01,t0285,, 2.5 , 2.5 ,
period1,sc01,t0286,, 2.5 , 2.5 ,
period1,sc01,t0287,, 2.5 , 2.5 ,
period1,sc01,t0288,, 2.5 , 2.5 ,
period1,sc01,t0289,, 2.5 , 2.5 ,
period1,sc01,t0290,, 2.5 , 2.5 ,
period1,sc01,t0291,, 2.5 , 2.5 ,
period1,sc01,t0292,, 2.5 , 2.5 ,
period1,sc01,t0293,, 2.5 , 2.5 ,
period1,sc01,t0294,, 2.5 , 2.5 ,
period1,sc01,t0295,, 2.5 , 2.5 ,
period1,sc01,t0296,, 2.5 , 2.5 ,
period1,sc01,t0297,, 2.5 , 2.5 ,
period1,sc01,t0298,, 2.5 , 2.5 ,
period1,sc01,t0299,, 2.5 , 2.5 ,
period1,sc01,t0300,, 2.5 , 2.5 ,
period1,sc01,t0301,, 2.5 , 2.5 ,
period1,sc01,t0302,, 2.5 , 2.5 ,
period1,sc01,t0303,, 2.5 , 2.5 ,
period1,sc01,t0304,, 2.5 , 2.5 ,
period1,sc01,t0305,, 2.5 , 2.5 ,
period1,sc01,t0306,, 2.5 , 2.5 ,
period1,sc01,t0307,, 2.5 , 2.5 ,
period1,sc01,t0308,, 2.5 , 2.5 ,
period1,sc01,t0309,, 2.5 , 2.5 ,
period1,sc01,t0310,, 2.5 , 2.5 ,
period1,sc01,t0311,, 2.5 , 2.5 ,
period1,sc01,t0312,, 2.5 , 2.5 ,
period1,sc01,t0313,, 2.5 , 2.5 ,
period1,sc01,t0314,, 2.5 , 2.5 ,
period1,sc01,t0315,, 2.5 , 2.5 ,
period1,sc01,t0316,, 2.5 , 2.5 ,
period1,sc01,t0317,, 2.5 , 2.5 ,
period1,sc01,t0318,, 2.5 , 2.5 ,
period1,sc01,t0319,, 2.5 , 2.5 ,
period1,sc01,t0320,, 2.5 , 2.5 ,
period1,sc01,t0321,, 2.5 , 2.5 ,
period1,sc01,t0322,, 2.5 , 2.5 ,
period1,sc01,t0323,, 2.5 , 2.5 ,
period1,sc01,t0324,, 2.5 , 2.5 ,
period1,sc01,t0325,, 2.5 , 2.5 ,
period1,sc01,t0326,, 2.5 , 2.5 ,
period1,sc01,t0327,, 2.5 , 2.5 ,
period1,sc01,t0328,, 2.5 , 2.5 ,
period1,sc01,t0329,, 2.5 , 2.5 ,
period1,sc01,t0330,, 2.5 , 2.5 ,
period1,sc01,t0331,, 2.5 , 2.5 ,
period1,sc01,t0332,, 2.5 , 2.5 ,
period1,sc01,t0333,, 2.5 , 2.5 ,
period1,sc01,t0334,, 2.5 , 2.5 ,
period1,sc01,t0335,, 2.5 , 2.5 ,
period1,sc01,t0336,, 2.5 , 2.5 ,
period1,sc01,t0337,, 2.5 , 2.5 ,
period1,sc01,t0338,, 2.5 , 2.5 ,
period1,sc01,t0339,, 2.5 , 2.5 ,
period1,sc01,t0340,, 2.5 , 2.5 ,
period1,sc01,t0341,, 2.5 , 2.5 ,
period1,sc01,t0342,, 2.5 , 2.5 ,
