,Period,Scenario,LoadLevel,Date,Component,MW
150,period1,sc01,t0076,2024-09-19 15:29:00,BESS,0.0
151,period1,sc01,t0076,2024-09-19 15:29:00,Wind,67.298
152,period1,sc01,t0077,2024-09-19 16:29:00,BESS,0.0
153,period1,sc01,t0077,2024-09-19 16:29:00,Wind,65.9395
154,period1,sc01,t0078,2024-09-19 17:29:00,BESS,0.0
155,period1,sc01,t0078,2024-09-19 17:29:00,Wind,65.835
156,period1,sc01,t0079,2024-09-19 18:29:00,BESS,0.0
157,period1,sc01,t0079,2024-09-19 18:29:00,Wind,64.372
158,period1,sc01,t0080,2024-09-19 19:29:00,BESS,0.0
159,period1,sc01,t0080,2024-09-19 19:29:00,Wind,62.073
160,period1,sc01,t0081,2024-09-19 20:29:00,BESS,0.0
161,period1,sc01,t0081,2024-09-19 20:29:00,Wind,57.1615
162,period1,sc01,t0082,2024-09-19 21:29:00,BESS,10.000000000000009
163,period1,sc01,t0082,2024-09-19 21:29:00,Wind,48.3835
164,period1,sc01,t0083,2024-09-19 22:29:00,BESS,0.0
165,period1,sc01,t0083,2024-09-19 22:29:00,Wind,50.578
166,period1,sc01,t0084,2024-09-19 23:29:00,BESS,0.0
167,period1,sc01,t0084,2024-09-19 23:29:00,Wind,46.7115
168,period1,sc01,t0085,2024-09-20 00:29:00,BESS,0.0
169,period1,sc01,t0085,2024-09-20 00:29:00,Wind,41.2775
170,period1,sc01,t0086,2024-09-20 01:29:00,BESS,0.0
171,period1,sc01,t0086,2024-09-20 01:29:00,Wind,38.038
172,period1,sc01,t0087,2024-09-20 02:29:00,BESS,0.0
173,period1,sc01,t0087,2024-09-20 02:29:00,Wind,36.88850000000001
174,period1,sc01,t0088,2024-09-20 03:29:00,BESS,0.0
175,period1,sc01,t0088,2024-09-20 03:29:00,Wind,36.4705
176,period1,sc01,t0089,2024-09-20 04:29:00,BESS,0.0
177,period1,sc01,t0089,2024-09-20 04:29:00,Wind,36.4705
178,period1,sc01,t0090,2024-09-20 05:29:00,BESS,50.0
179,period1,sc01,t0090,2024-09-20 05:29:00,Wind,37.62
180,period1,sc01,t0091,2024-09-20 06:29:00,BESS,50.0
181,period1,sc01,t0091,2024-09-20 06:29:00,Wind,35.63450000000001
182,period1,sc01,t0092,2024-09-20 07:29:00,BESS,0.0
183,period1,sc01,t0092,2024-09-20 07:29:00,Wind,31.663499999999996
184,period1,sc01,t0093,2024-09-20 08:29:00,BESS,0.0
185,period1,sc01,t0093,2024-09-20 08:29:00,Wind,27.797
186,period1,sc01,t0094,2024-09-20 09:29:00,BESS,0.0
187,period1,sc01,t0094,2024-09-20 09:29:00,Wind,26.334
188,period1,sc01,t0095,2024-09-20 10:29:00,BESS,0.0
189,period1,sc01,t0095,2024-09-20 10:29:00,Wind,26.2295
190,period1,sc01,t0096,2024-09-20 11:29:00,BESS,50.0
191,period1,sc01,t0096,2024-09-20 11:29:00,Wind,26.2295
192,period1,sc01,t0097,2024-09-20 12:29:00,BESS,0.0
193,period1,sc01,t0097,2024-09-20 12:29:00,Wind,26.543
194,period1,sc01,t0098,2024-09-20 13:29:00,BESS,0.0
195,period1,sc01,t0098,2024-09-20 13:29:00,Wind,28.424000000000003
196,period1,sc01,t0099,2024-09-20 14:29:00,BESS,0.0
197,period1,sc01,t0099,2024-09-20 14:29:00,Wind,30.2005
198,period1,sc01,t0100,2024-09-20 15:29:00,BESS,0.0
199,period1,sc01,t0100,2024-09-20 15:29:00,Wind,29.1555
200,period1,sc01,t0101,2024-09-20 16:29:00,BESS,0.0
201,period1,sc01,t0101,2024-09-20 16:29:00,Wind,27.797
202,period1,sc01,t0102,2024-09-20 17:29:00,BESS,0.0
203,period1,sc01,t0102,2024-09-20 17:29:00,Wind,26.6475
204,period1,sc01,t0103,2024-09-20 18:29:00,BESS,0.0
205,period1,sc01,t0103,2024-09-20 18:29:00,Wind,25.916
206,period1,sc01,t0104,2024-09-20 19:29:00,BESS,0.0
207,period1,sc01,t0104,2024-09-20 19:29:00,Wind,24.3485
208,period1,sc01,t0105,2024-09-20 20:29:00,BESS,0.0
209,period1,sc01,t0105,2024-09-20 20:29:00,Wind,22.363
210,period1,sc01,t0106,2024-09-20 21:29:00,BESS,29.189765931661235
211,period1,sc01,t0106,2024-09-20 21:29:00,Wind,15.048
212,period1,sc01,t0107,2024-09-20 22:29:00,BESS,0.0
213,period1,sc01,t0107,2024-09-20 22:29:00,Wind,11.913
214,period1,sc01,t0108,2024-09-20 23:29:00,BESS,0.0
215,period1,sc01,t0108,2024-09-20 23:29:00,Wind,10.1365
216,period1,sc01,t0109,2024-09-21 00:29:00,BESS,0.0
217,period1,sc01,t0109,2024-09-21 00:29:00,Wind,8.36
218,period1,sc01,t0110,2024-09-21 01:29:00,BESS,0.43823682881670695
219,period1,sc01,t0110,2024-09-21 01:29:00,Wind,7.524
