Period,Scenario,LoadLevel,Component,Date,MEUR
period1,sc01,t0056,TotalECost,2024-09-18 19:29:00,0.0
period1,sc01,t0056,TotalCCost,2024-09-18 19:29:00,0.0
period1,sc01,t0056,TotalRCost,2024-09-18 19:29:00,-0.0
period1,sc01,t0057,TotalMCost,2024-09-18 20:29:00,-0.0007497973903921892
period1,sc01,t0057,TotalGCost,2024-09-18 20:29:00,6.341183355010941e-05
period1,sc01,t0057,TotalECost,2024-09-18 20:29:00,0.0
period1,sc01,t0057,TotalCCost,2024-09-18 20:29:00,0.0
period1,sc01,t0057,TotalRCost,2024-09-18 20:29:00,-0.0
period1,sc01,t0058,TotalMCost,2024-09-18 21:29:00,-0.000671022828814172
period1,sc01,t0058,TotalGCost,2024-09-18 21:29:00,6.25833659101094e-05
period1,sc01,t0058,TotalECost,2024-09-18 21:29:00,0.0
period1,sc01,t0058,TotalCCost,2024-09-18 21:29:00,0.0
period1,sc01,t0058,TotalRCost,2024-09-18 21:29:00,-0.0
period1,sc01,t0059,TotalMCost,2024-09-18 22:29:00,-0.0008798972732721756
period1,sc01,t0059,TotalGCost,2024-09-18 22:29:00,6.491813835010941e-05
period1,sc01,t0059,TotalECost,2024-09-18 22:29:00,0.0
period1,sc01,t0059,TotalCCost,2024-09-18 22:29:00,0.0
period1,sc01,t0059,TotalRCost,2024-09-18 22:29:00,-0.0
period1,sc01,t0060,TotalMCost,2024-09-18 23:29:00,-0.0011432912851035175
period1,sc01,t0060,TotalGCost,2024-09-18 23:29:00,6.785543271010941e-05
period1,sc01,t0060,TotalECost,2024-09-18 23:29:00,0.0
period1,sc01,t0060,TotalCCost,2024-09-18 23:29:00,0.0
period1,sc01,t0060,TotalRCost,2024-09-18 23:29:00,-0.0
period1,sc01,t0061,TotalMCost,2024-09-19 00:29:00,-0.0013787399035179258
period1,sc01,t0061,TotalGCost,2024-09-19 00:29:00,7.049146611010941e-05
period1,sc01,t0061,TotalECost,2024-09-19 00:29:00,0.0
period1,sc01,t0061,TotalCCost,2024-09-19 00:29:00,0.0
period1,sc01,t0061,TotalRCost,2024-09-19 00:29:00,-0.0
period1,sc01,t0062,TotalMCost,2024-09-19 01:29:00,-0.0017420176324692807
period1,sc01,t0062,TotalGCost,2024-09-19 01:29:00,7.43325433501094e-05
period1,sc01,t0062,TotalECost,2024-09-19 01:29:00,0.0
period1,sc01,t0062,TotalCCost,2024-09-19 01:29:00,0.0
period1,sc01,t0062,TotalRCost,2024-09-19 01:29:00,-0.0
period1,sc01,t0063,TotalMCost,2024-09-19 02:29:00,-0.0022160217332721755
period1,sc01,t0063,TotalGCost,2024-09-19 02:29:00,7.90774034701094e-05
period1,sc01,t0063,TotalECost,2024-09-19 02:29:00,0.0
period1,sc01,t0063,TotalCCost,2024-09-19 02:29:00,0.0
period1,sc01,t0063,TotalRCost,2024-09-19 02:29:00,-0.0
period1,sc01,t0064,TotalMCost,2024-09-19 03:29:00,-0.002644473846179935
period1,sc01,t0064,TotalGCost,2024-09-19 03:29:00,8.32197416701094e-05
period1,sc01,t0064,TotalECost,2024-09-19 03:29:00,0.0
period1,sc01,t0064,TotalCCost,2024-09-19 03:29:00,0.0
period1,sc01,t0064,TotalRCost,2024-09-19 03:29:00,-0.0
period1,sc01,t0065,TotalMCost,2024-09-19 04:29:00,-0.0062782834219828314
period1,sc01,t0065,TotalGCost,2024-09-19 04:29:00,8.41988397901094e-05
period1,sc01,t0065,TotalECost,2024-09-19 04:29:00,0.0
period1,sc01,t0065,TotalCCost,2024-09-19 04:29:00,0.0
period1,sc01,t0065,TotalRCost,2024-09-19 04:29:00,-0.0
period1,sc01,t0066,TotalMCost,2024-09-19 05:29:00,-0.006748439661471132
period1,sc01,t0066,TotalGCost,2024-09-19 05:29:00,8.79646017901094e-05
period1,sc01,t0066,TotalECost,2024-09-19 05:29:00,0.0
period1,sc01,t0066,TotalCCost,2024-09-19 05:29:00,0.0
period1,sc01,t0066,TotalRCost,2024-09-19 05:29:00,-0.0
period1,sc01,t0067,TotalMCost,2024-09-19 06:29:00,-0.0070353703917269824
period1,sc01,t0067,TotalGCost,2024-09-19 06:29:00,9.14291028301094e-05
period1,sc01,t0067,TotalECost,2024-09-19 06:29:00,0.0
period1,sc01,t0067,TotalCCost,2024-09-19 06:29:00,0.0
period1,sc01,t0067,TotalRCost,2024-09-19 06:29:00,-0.0
period1,sc01,t0068,TotalMCost,2024-09-19 07:29:00,-0.0036000540456455135
period1,sc01,t0068,TotalGCost,2024-09-19 07:29:00,9.353792955010941e-05
period1,sc01,t0068,TotalECost,2024-09-19 07:29:00,0.0
period1,sc01,t0068,TotalCCost,2024-09-19 07:29:00,0.0
period1,sc01,t0068,TotalRCost,2024-09-19 07:29:00,-0.0
period1,sc01,t0069,TotalMCost,2024-09-19 08:29:00,-0.0038546271759013636
period1,sc01,t0069,TotalGCost,2024-09-19 08:29:00,9.655053915010942e-05
period1,sc01,t0069,TotalECost,2024-09-19 08:29:00,0.0
period1,sc01,t0069,TotalCCost,2024-09-19 08:29:00,0.0
period1,sc01,t0069,TotalRCost,2024-09-19 08:29:00,-0.0
period1,sc01,t0070,TotalMCost,2024-09-19 09:29:00,-0.003922093945615215
period1,sc01,t0070,TotalGCost,2024-09-19 09:29:00,9.83581049101094e-05
period1,sc01,t0070,TotalECost,2024-09-19 09:29:00,0.0
period1,sc01,t0070,TotalCCost,2024-09-19 09:29:00,0.0
period1,sc01,t0070,TotalRCost,2024-09-19 09:29:00,-0.0
period1,sc01,t0071,TotalMCost,2024-09-19 10:29:00,-0.004094177120888738
period1,sc01,t0071,TotalGCost,2024-09-19 10:29:00,9.97137792301094e-05
period1,sc01,t0071,TotalECost,2024-09-19 10:29:00,0.0
period1,sc01,t0071,TotalCCost,2024-09-19 10:29:00,0.0
period1,sc01,t0071,TotalRCost,2024-09-19 10:29:00,-0.0
period1,sc01,t0072,TotalMCost,2024-09-19 11:29:00,-0.004092699285103518
period1,sc01,t0072,TotalGCost,2024-09-19 11:29:00,9.94878335101094e-05
period1,sc01,t0072,TotalECost,2024-09-19 11:29:00,0.0
period1,sc01,t0072,TotalCCost,2024-09-19 11:29:00,0.0
period1,sc01,t0072,TotalRCost,2024-09-19 11:29:00,-0.0
period1,sc01,t0073,TotalMCost,2024-09-19 12:29:00,-0.0038226261521629346
period1,sc01,t0073,TotalGCost,2024-09-19 12:29:00,9.88099963501094e-05
period1,sc01,t0073,TotalECost,2024-09-19 12:29:00,0.0
period1,sc01,t0073,TotalCCost,2024-09-19 12:29:00,0.0
period1,sc01,t0073,TotalRCost,2024-09-19 12:29:00,-0.0
period1,sc01,t0074,TotalMCost,2024-09-19 13:29:00,-0.0019384518248176524
period1,sc01,t0074,TotalGCost,2024-09-19 13:29:00,9.93372030301094e-05
period1,sc01,t0074,TotalECost,2024-09-19 13:29:00,0.0
period1,sc01,t0074,TotalCCost,2024-09-19 13:29:00,0.0
period1,sc01,t0074,TotalRCost,2024-09-19 13:29:00,-0.0
period1,sc01,t0075,TotalMCost,2024-09-19 14:29:00,-0.00059328404862481
