Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,Date,MW
period1,sc01,t0054,Node2,Node4,p1,2024-09-18 17:29:00,-0.0
period1,sc01,t0054,Node3,Node4,p1,2024-09-18 17:29:00,0.14012792459181972
period1,sc01,t0055,Node2,Node3,p1,2024-09-18 18:29:00,0.14012792459181972
period1,sc01,t0055,Node2,Node4,p1,2024-09-18 18:29:00,-0.0
period1,sc01,t0055,Node3,Node4,p1,2024-09-18 18:29:00,0.14012792459181972
period1,sc01,t0056,Node2,Node3,p1,2024-09-18 19:29:00,0.14012792459181972
period1,sc01,t0056,Node2,Node4,p1,2024-09-18 19:29:00,-0.0
period1,sc01,t0056,Node3,Node4,p1,2024-09-18 19:29:00,0.14012792459181972
period1,sc01,t0057,Node2,Node3,p1,2024-09-18 20:29:00,0.14012792459181972
period1,sc01,t0057,Node2,Node4,p1,2024-09-18 20:29:00,-0.0
period1,sc01,t0057,Node3,Node4,p1,2024-09-18 20:29:00,0.14012792459181972
period1,sc01,t0058,Node2,Node3,p1,2024-09-18 21:29:00,0.14012792459181972
period1,sc01,t0058,Node2,Node4,p1,2024-09-18 21:29:00,-0.0
period1,sc01,t0058,Node3,Node4,p1,2024-09-18 21:29:00,0.14012792459181972
period1,sc01,t0059,Node2,Node3,p1,2024-09-18 22:29:00,0.14012792459181972
period1,sc01,t0059,Node2,Node4,p1,2024-09-18 22:29:00,-0.0
period1,sc01,t0059,Node3,Node4,p1,2024-09-18 22:29:00,0.14012792459181972
period1,sc01,t0060,Node2,Node3,p1,2024-09-18 23:29:00,0.14012792459181972
period1,sc01,t0060,Node2,Node4,p1,2024-09-18 23:29:00,-0.0
period1,sc01,t0060,Node3,Node4,p1,2024-09-18 23:29:00,0.14012792459181972
period1,sc01,t0061,Node2,Node3,p1,2024-09-19 00:29:00,0.14012792459181972
period1,sc01,t0061,Node2,Node4,p1,2024-09-19 00:29:00,-0.0
period1,sc01,t0061,Node3,Node4,p1,2024-09-19 00:29:00,0.14012792459181972
period1,sc01,t0062,Node2,Node3,p1,2024-09-19 01:29:00,0.14012792459181972
period1,sc01,t0062,Node2,Node4,p1,2024-09-19 01:29:00,-0.0
