,,,SolarPV_01,Wind_01,BESS_01,AEL_01,PEMEL_01
period1,sc01,t0223, 1.47878366666667E-05 , 1.5421359223301 ,,,
period1,sc01,t0224, 1.56406311666667E-04 , 1.84650485436893 ,,,
period1,sc01,t0225, 0.11711965865 , 2.06970873786408 ,,,
period1,sc01,t0226, 2.2314054765 , 1.46097087378641 ,,,
period1,sc01,t0227, 5.4866934775 , 1.27834951456311 ,,,
period1,sc01,t0228, 7.2255116175 , 1.48126213592233 ,,,
period1,sc01,t0229, 7.9336838275 , 1.31893203883495 ,,,
period1,sc01,t0230, 8.05982588 , 1.62330097087379 ,,,
period1,sc01,t0231, 7.6595527325 , 2.29291262135922 ,,,
period1,sc01,t0232, 6.61848003 , 2.6378640776699 ,,,
period1,sc01,t0233, 4.2928497275 , 2.65815533980583 ,,,
period1,sc01,t0234, 1.10901146975 , 2.96252427184466 ,,,
period1,sc01,t0235, 0.0002657274275 , 4.40320388349515 ,,,
period1,sc01,t0236, 0.0000130641 , 6.95990291262136 ,,,
period1,sc01,t0237, 8.52795416666667E-06 , 9.15135922330097 ,,,
period1,sc01,t0238, 3.62891666666667E-06 , 10.1659223300971 ,,,
period1,sc01,t0239, 4.08253166666667E-06 , 10.5920388349515 ,,,
period1,sc01,t0240, 0.000004808315 , 10.5514563106796 ,,,
period1,sc01,t0241, 4.26397666666667E-06 , 10.0238834951456 ,,,
period1,sc01,t0242, 4.26397666666667E-06 , 9.31368932038835 ,,,
period1,sc01,t0243, 3.99180916666667E-06 , 8.5426213592233 ,,,
period1,sc01,t0244, 4.53614666666667E-06 , 7.77155339805825 ,,,
period1,sc01,t0245, 0.0000046268675 , 7.26427184466019 ,,,
period1,sc01,t0246, 6.89494166666667E-06 , 7.14252427184466 ,,,
period1,sc01,t0247, 1.27012083333333E-05 , 7.0004854368932 ,,,
period1,sc01,t0248, 1.56134141666667E-04 , 6.49320388349514 ,,,
period1,sc01,t0249, 0.09429014355 , 5.39747572815534 ,,,
period1,sc01,t0250, 1.794629058 , 3.75388349514563 ,,,
period1,sc01,t0251, 4.5780662575 , 3.16543689320388 ,,,
period1,sc01,t0252, 6.429758215 , 2.69873786407767 ,,,
period1,sc01,t0253, 7.2477777425 , 2.33349514563107 ,,,
period1,sc01,t0254, 7.6071929075 , 2.37407766990291 ,,,
period1,sc01,t0255, 7.3908459675 , 2.8204854368932 ,,,
period1,sc01,t0256, 6.447593435 , 3.22631067961165 ,,,
period1,sc01,t0257, 4.1298696375 , 3.91621359223301 ,,,
period1,sc01,t0258, 1.115391105 , 5.5395145631068 ,,,
period1,sc01,t0259, 0.0128790255 , 6.83815533980583 ,,,
period1,sc01,t0260, 0.000013517715 , 7.52805825242718 ,,,
period1,sc01,t0261, 0.0000092537375 , 8.01504854368932 ,,,
period1,sc01,t0262, 5.62482166666667E-06 , 8.62378640776699 ,,,
period1,sc01,t0263, 0.000004173255 , 9.21223300970874 ,,,
period1,sc01,t0264, 4.08253166666667E-06 , 9.51660194174757 ,,,
period1,sc01,t0265, 0.000004173255 , 9.96300970873786 ,,,
period1,sc01,t0266, 0.000003901085 , 10.6123300970874 ,,,
period1,sc01,t0267, 0.0000044454225 , 11.0993203883495 ,,,
period1,sc01,t0268, 4.08253166666667E-06 , 11.0993203883495 ,,,
period1,sc01,t0269, 0.0000046268675 , 11.2007766990291 ,,,
period1,sc01,t0270, 5.89698916666667E-06 , 11.8298058252427 ,,,
period1,sc01,t0271, 0.00001088675 , 12.6211650485437 ,,,
period1,sc01,t0272, 1.43523656666667E-04 , 13.2907766990291 ,,,
period1,sc01,t0273, 0.067663874175 , 12.8849514563107 ,,,
period1,sc01,t0274, 1.46247975325 , 11.4239805825243 ,,,
period1,sc01,t0275, 4.259797555 , 12.4182524271845 ,,,
period1,sc01,t0276, 6.1812164275 , 12.1544660194175 ,,,
period1,sc01,t0277, 7.1167257625 , 11.505145631068 ,,,
period1,sc01,t0278, 7.424279175 , 10.9369902912621 ,,,
period1,sc01,t0279, 6.9860493775 , 10.5717475728155 ,,,
period1,sc01,t0280, 5.61244361 , 10.0238834951456 ,,,
period1,sc01,t0281, 3.1232807125 , 9.11077669902913 ,,,
period1,sc01,t0282, 0.74736723625 , 9.21223300970874 ,,,
period1,sc01,t0283, 2.50213809166667E-04 , 9.49631067961165 ,,,
